Year   Quest Name                                   Quest Prefix
2001   Cook's Assistant                             cook
       Demon Slayer                                 dslay
       The Temple at Senntisten                     mah4
       Blood Runs Deep                              evq (Epic Viking Quest)
2010   Nomad's Requiem                              nom
       Rune Mechanics                               rm
       Blood Pact                                   lumbcat
       Buyers and Cellars                           thigui (Thieves' Guild)
       From Tiny Acorns                             caper_acorns
       Lost Her Marbles                             caper_marbles
       A Guild of Our Own                           caper_ourown
       A Fairy Tale III - Battle at Ork's Rift      ft3
       Elemental Workshop III                       elem_3
       Quiet Before the Swarm                       vkq1
       Love Story                                   love
       A Void Dance                                 vkq2
       Gunnar's Ground                              romcom
       The Void Stares Back                         vkq3
       Do No Evil                                   apmeken
2011   King of the Dwarves                          ra4
       The Prisoner of Glouphrie                    glo3
       Elemental Workshop IV                        elem_4
       A Clockwork Syringe                          acs
       Three's Company                              fremsaga_signature
       Vengeance                                    fremsaga_vengeance
       Thok It To 'Em                               fremsaga_thok
       Deadliest Catch                              deadly
       Salt in the Wound                            slug3
       The Branches of Darkmeyer                    myq5
       Ritual of the Mahjarrat                      mah5
